N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
107,신풍제약,"63,800",300,-0.47%,500,"33,804","52,985",7.49,"455,824","1,063.33",1.72,
108,SK케미칼,"278,000","5,000",-1.77%,"5,000","32,669","11,751",17.19,"83,065",35.32,30.49,
109,에스원,"85,700",200,-0.23%,500,"32,565","37,999",53.96,"30,007",22.22,10.48,
110,한국항공우주,"33,400",250,+0.75%,"5,000","32,557","97,475",13.29,"672,731",165.35,6.39,
111,씨에스윈드,"73,700","1,200",+1.66%,500,"31,080","42,171",10.84,"253,546",52.27,8.19,
112,더존비즈온,"102,000","3,500",-3.32%,500,"30,947","30,341",41.54,"232,465",49.71,15.09,
113,키움증권,"116,000",500,-0.43%,"5,000","30,415","26,220",24.44,"47,676",3.12,27.63,
114,효성티앤씨,"701,000","12,000",-1.68%,"5,000","30,337","4,328",22.71,"38,522",6.00,25.10,
115,BGF리테일,"175,500","3,000",+1.74%,"1,000","30,333","17,284",33.13,"11,839",21.62,18.60,
116,롯데쇼핑,"106,500",500,+0.47%,"5,000","30,128","28,289",10.36,"31,010",-5.21,-7.70,
117,한화생명,"3,450",60,+1.77%,"5,000","29,964","868,530",7.75,"2,609,340",5.47,1.90,
118,코오롱인더,"111,000",500,-0.45%,"5,000","29,947","26,979",21.53,"722,096",22.23,9.70,
119,CJ,"100,500","1,500",-1.47%,"5,000","29,323","29,177",17.74,"59,843",68.69,1.89,
120,동서,"29,400",100,-0.34%,500,"29,312","99,700",3.26,"59,475",27.12,8.61,
121,포스코인터내셔널,"23,700",200,+0.85%,"5,000","29,240","123,375",9.71,"787,143",9.92,7.69,
122,대우건설,"7,000",20,+0.29%,"5,000","29,094","415,623",11.74,"912,053",6.38,11.06,
123,한샘,"121,000","1,500",+1.26%,"1,000","28,476","23,534",18.74,"89,192",34.25,10.83,
124,현대오토에버,"103,500","2,000",-1.90%,500,"28,384","27,424",1.66,"76,998",37.34,11.09,
125,LG화학우,"367,500","8,500",+2.37%,"5,000","28,256","7,689",68.98,"18,395",9.90,N/A,
126,만도,"59,300","1,700",-2.79%,"1,000","27,846","46,957",25.12,"293,889",11.74,0.37,
127,대우조선해양,"25,950",800,-2.99%,"5,000","27,842","107,291",6.86,"510,049",-1.91,2.27,
128,현대미포조선,"69,700","1,000",-1.41%,"5,000","27,840","39,942",10.37,"199,647",-15.32,-0.84,
